date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:18	230/230	---M-Z	200	added ('OK')	text/plain	date:Wed,%2026%20Oct%202022%2011:02:06%20GMT	https://www.leeds.ac.uk/robots.txt		(from )
16:31:20	63517/63517	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2011:02:07%20GMT	https://www.leeds.ac.uk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web1/Site12/www.leeds.ac.uk/index.html	(from )
16:31:21	1731/1731	---M--	200	added ('OK')	image/png	etag:%22162f58-6c3-5ead3c71b2fc0%22	https://jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-57x57.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web1/Site12/jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-57x57.png	(from https://www.leeds.ac.uk/)
16:31:21	1729/1729	---M--	200	added ('OK')	image/png	etag:%22162f59-6c1-5ead3c71b2fc0%22	https://jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-60x60.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web1/Site12/jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-60x60.png	(from https://www.leeds.ac.uk/)
16:31:22	1755/1755	---M--	200	added ('OK')	image/png	etag:%22162f5a-6db-5ead3c71b2fc0%22	https://jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-72x72.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web1/Site12/jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-72x72.png	(from https://www.leeds.ac.uk/)
16:31:23	1862/1862	---M--	200	added ('OK')	image/png	etag:%22162f5b-746-5ead3c71b2fc0%22	https://jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-76x76.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web1/Site12/jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-76x76.png	(from https://www.leeds.ac.uk/)
16:31:24	2265/2265	---M--	200	added ('OK')	image/png	etag:%22162f53-8d9-5ead3c71b2fc0%22	https://jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-114x114.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web1/Site12/jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-114x114.png	(from https://www.leeds.ac.uk/)
16:31:25	2154/2154	---M--	200	added ('OK')	image/png	etag:%22162f54-86a-5ead3c71b2fc0%22	https://jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-120x120.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web1/Site12/jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-120x120.png	(from https://www.leeds.ac.uk/)
16:31:25	2205/2205	---M--	200	added ('OK')	image/png	etag:%22162f55-89d-5ead3c71b2fc0%22	https://jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-144x144.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web1/Site12/jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-144x144.png	(from https://www.leeds.ac.uk/)
16:31:26	2559/2559	---M--	200	added ('OK')	image/png	etag:%22162f56-9ff-5ead3c71b2fc0%22	https://jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-152x152.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web1/Site12/jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-152x152.png	(from https://www.leeds.ac.uk/)
16:31:27	2967/2967	---M--	200	added ('OK')	image/png	etag:%22162f57-b97-5ead3c71b2fc0%22	https://jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-180x180.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web1/Site12/jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/apple-icon-180x180.png	(from https://www.leeds.ac.uk/)
16:31:28	1512/1512	---M--	200	added ('OK')	image/png	etag:%22162f4e-5e8-5ead3c71b2fc0%22	https://jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/android-icon-192x192.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web1/Site12/jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/android-icon-192x192.png	(from https://www.leeds.ac.uk/)
16:31:29	1263/1263	---M--	200	added ('OK')	image/png	etag:%22162f61-4ef-5ead3c71b2fc0%22	https://jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/favicon-32x32.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web1/Site12/jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/favicon-32x32.png	(from https://www.leeds.ac.uk/)
16:31:29	1593/1593	---M--	200	added ('OK')	image/png	etag:%22162f62-639-5ead3c71b2fc0%22	https://jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/favicon-96x96.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web1/Site12/jaducdn.leeds.ac.uk/uol-ds/1.0.1/favicons/favicon-96x96.png	(from https://www.leeds.ac.uk/)
